acc_ref,veh_ref,veh_type,tow_art,manoeuvres,veh_movecp,jloc_veh_toi,skidding,objon_cway,veh_lv_cway,objoff_cway,veh_suffix,point_impact,otherveh_ref,part_damage,no_axles,sex_driver,age_driver,breath_test,max_gross,hit_run,dtp_proj,pol_la_pro,veh_loc_toa_road,veh_loc_toa_r
211,1,Car,No tow/articulation,Going ahead other,51,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Offside,0,,0,Female,52,Negative,,Other,,,unset,On main carriageway - not in restricted la
511,1,Pedal cycle,No tow/articulation,Going ahead other,51,Not at junction (or within 20 metres),Skidding,None,Did not _leave carriageway,None,,Front,0,,0,Not traced,-9,Driver not contacted at time of accident,,Other,,,unset,On main carriageway - not in restricted la
711,1,Taxi,No tow/articulation,Starting,37,Vehicle in miidle of junction,No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,0,,0,Male,61,Negative,,Other,,,unset,On main carriageway - not in restricted la
1511,1,Car,No tow/articulation,Going ahead other,15,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Did not impact,0,,0,Not traced,-9,Driver not contacted at time of accident,,"Non-stop vehicle, not hit",,,unset,On main carriageway - not in restricted la
1511,2,Pedal cycle,No tow/articulation,Going ahead other,51,Not at junction (or within 20 metres),No skidding or jackknifing,Other object,Did not _leave carriageway,None,,Offside,0,,0,Male,36,Driver not contacted at time of accident,,Other,,,unset,On main carriageway - not in restricted la
4111,1,Goods vehicle 3.5 tonnes maximum gross weight (mgw) and under,No tow/articulation,Turning right,53,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,2,,0,Male,52,Negative,,Other,,,unset,On main carriageway - not in restricted la
4111,2,Pedal cycle,No tow/articulation,Going ahead other,37,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,1,,0,Male,36,Not requested,,Other,,,unset,On main carriageway - not in restricted la
4211,1,Car,No tow/articulation,Stopping,15,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,2,,0,Male,24,Negative,,Other,,,unset,On main carriageway - not in restricted la
4211,2,Car,No tow/articulation,Wating to turn left,13,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Back,1,,0,Male,66,Not requested,,Other,,,unset,On main carriageway - not in restricted la
6511,1,Car,No tow/articulation,Stopping,37,Not at junction (or within 20 metres),No skidding or jackknifing,None,Left carriageway offside onto central reservation,Central crash barrier,,Front,0,,0,Male,19,Not provided (Medical reasons),,Other,,,unset,On main carriageway - not in restricted la
7611,1,Taxi,No tow/articulation,Changing lane to left,73,Not at junction (or within 20 metres),Skidding,None,Did not _leave carriageway,None,,Front,2,,0,Male,52,Negative,,Other,,,unset,On main carriageway - not in restricted la
7611,2,Car,No tow/articulation,Going ahead other,73,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,1,,0,Male,50,Negative,,Other,,,unset,On main carriageway - not in restricted la
8111,1,Pedal cycle,No tow/articulation,Turning right,53,unset,No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,2,,0,Male,48,Driver not contacted at time of accident,,Other,,,unset,On main carriageway - not in restricted la
8111,2,Car,No tow/articulation,Going ahead other,73,unset,No skidding or jackknifing,None,Did not _leave carriageway,None,,Offside,1,,0,Female,52,Driver not contacted at time of accident,,Other,,,unset,On main carriageway - not in restricted la
8411,1,Car,No tow/articulation,Going ahead other,73,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Nearside,0,,0,Male,52,Negative,,Other,,,unset,On main carriageway - not in restricted la
9111,1,Pedal cycle,No tow/articulation,Going ahead other,51,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,2,,0,Male,20,Not requested,,Other,,,unset,On main carriageway - not in restricted la
9111,2,Goods vehicle 3.5 tonnes maximum gross weight (mgw) and under,No tow/articulation,Waiting to go ahead but held up,15,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,1,,0,Male,56,Negative,,Other,,,unset,On main carriageway - not in restricted la
10111,1,Bus or coach (17 or more passenger seats),No tow/articulation,Starting,15,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Did not impact,0,,0,Male,22,Negative,,"Non-stop vehicle, not hit",,,unset,On main carriageway - not in restricted la
12611,1,Car,No tow/articulation,Going ahead other,15,unset,No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,2,,0,Male,40,Driver not contacted at time of accident,,Other,,,unset,On main carriageway - not in restricted la
12611,2,Goods vehicle 3.5 tonnes maximum gross weight (mgw) and under,No tow/articulation,Going ahead other,73,unset,No skidding or jackknifing,None,Did not _leave carriageway,None,,Nearside,1,,0,Male,27,Not requested,,Other,,,unset,On main carriageway - not in restricted la
14011,1,Car,No tow/articulation,Turning right,53,unset,No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,2,,0,Male,76,Negative,,Other,,,unset,On main carriageway - not in restricted la
14011,2,Pedal cycle,No tow/articulation,Going ahead other,15,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,1,,0,Male,46,Not requested,,Other,,,unset,Cycle lane (On main carriageway)
14411,1,Car,No tow/articulation,Turning right,31,unset,No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,2,,0,Male,56,Negative,,Other,,,unset,On main carriageway - not in restricted la
14411,2,Car,No tow/articulation,Going ahead other,15,unset,No skidding or jackknifing,None,Did not _leave carriageway,None,,Nearside,1,,0,Male,51,Negative,,Other,,,unset,On main carriageway - not in restricted la
17111,1,Car,No tow/articulation,Going ahead other,73,Vehicle in miidle of junction,No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,2,,0,Male,25,Not requested,,Other,,,unset,On main carriageway - not in restricted la
17111,2,Car,No tow/articulation,Stopping,73,Vehicle in miidle of junction,No skidding or jackknifing,None,Did not _leave carriageway,None,,Back,1,,0,Male,29,Not requested,,Other,,,unset,On main carriageway - not in restricted la
20611,1,Car,No tow/articulation,Going ahead other,37,Vehicle in miidle of junction,No skidding or jackknifing,Bollard/refuge,Did not _leave carriageway,None,,Front,0,,0,Male,25,Not requested,,Hit and Run,,,unset,On main carriageway - not in restricted la
20611,2,Car,No tow/articulation,Going ahead other,37,Vehicle in miidle of junction,No skidding or jackknifing,None,Did not _leave carriageway,None,,Did not impact,0,,0,Male,45,Not requested,,"Non-stop vehicle, not hit",,,unset,On main carriageway - not in restricted la
20611,3,Car,No tow/articulation,Parked,0,Vehicle in miidle of junction,No skidding or jackknifing,None,Did not _leave carriageway,None,,Offside,1,,0,Not traced,-9,Not requested,,Other,,,unset,On main carriageway - not in restricted la
21711,1,Goods vehicle 3.5 tonnes maximum gross weight (mgw) and under,No tow/articulation,Going ahead left hand bend,51,Vehicle in miidle of junction,No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,0,,0,Not traced,-9,Driver not contacted at time of accident,,Other,,,unset,On main carriageway - not in restricted la
22311,1,Car,No tow/articulation,Going ahead right hand bend,15,Not at junction (or within 20 metres),No skidding or jackknifing,None,Left carriageway nearside,None,,Front,0,,0,Not traced,-9,Driver not contacted at time of accident,,Other,,,unset,On main carriageway - not in restricted la
22411,1,Car,No tow/articulation,Going ahead other,15,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,0,,0,Male,28,Negative,,Other,,,unset,On main carriageway - not in restricted la
23611,1,Car,No tow/articulation,Going ahead other,37,Vehicle in miidle of junction,No skidding or jackknifing,None,Did not _leave carriageway,None,,Nearside,0,,0,Male,24,Negative,,Other,,,unset,On main carriageway - not in restricted la
24711,1,Car,No tow/articulation,Going ahead other,37,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,2,,0,Male,43,Negative,,Other,,,unset,On main carriageway - not in restricted la
24711,2,Car,No tow/articulation,Going ahead other,73,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,1,,0,Female,22,Not requested,,Other,,,unset,On main carriageway - not in restricted la
25911,1,Bus or coach (17 or more passenger seats),No tow/articulation,Turning left,71,Vehicle cleared junction/vehicle parked,No skidding or jackknifing,None,Did not _leave carriageway,None,,Nearside,0,,0,Male,63,Negative,,Other,,,unset,On main carriageway - not in restricted la
26211,1,Car,No tow/articulation,Turning right,17,unset,Skidding,None,Did not _leave carriageway,None,,Front,0,,0,Male,39,Negative,,Other,,,unset,On main carriageway - not in restricted la
26611,1,Car,No tow/articulation,Going ahead other,37,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,2,,0,Male,71,Not requested,,Other,,,unset,On main carriageway - not in restricted la
26611,2,Car,No tow/articulation,Wating to turn left,35,Vehicle in miidle of junction,No skidding or jackknifing,None,Did not _leave carriageway,None,,Back,1,,0,Female,44,Not requested,,Other,,,unset,On main carriageway - not in restricted la
30311,1,Pedal cycle,No tow/articulation,Overtaking on nearside,73,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,2,,0,Male,26,Not requested,,Other,,,unset,On main carriageway - not in restricted la
30311,2,Car,No tow/articulation,Parked,0,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Offside,1,,0,Not traced,-9,Not requested,,Other,,,unset,On main carriageway - not in restricted la
