acc_ref,veh_ref,veh_type,tow_art,manoeuvres,veh_movecp,jloc_veh_toi,skidding,objon_cway,veh_lv_cway,objoff_cway,veh_suffix,point_impact,otherveh_ref,part_damage,no_axles,sex_driver,age_driver,breath_test,max_gross,hit_run,dtp_proj,pol_la_pro,veh_loc_toa_road,veh_loc_toa_r
3013,1,Taxi,No tow/articulation,Going ahead other,0,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Did not impact,,,0,Male,48,Negative,,"Non-stop vehicle, not hit",,,unset,On main carriageway - not in restricted la
3313,1,Goods vehicle 3.5 tonnes maximum gross weight (mgw) and under,No tow/articulation,Going ahead other,0,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,,,0,Male,48,Negative,,Other,,,unset,On main carriageway - not in restricted la
3413,1,Car,No tow/articulation,Going ahead other,0,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,,,0,Female,38,Negative,,Other,,,unset,On main carriageway - not in restricted la
3413,2,Taxi,No tow/articulation,Going ahead other,0,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Back,,,0,Male,51,Negative,,Other,,,unset,On main carriageway - not in restricted la
4513,1,Car,No tow/articulation,Going ahead other,0,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,,,0,Male,21,Negative,,Other,,,unset,On main carriageway - not in restricted la
4513,2,Car,No tow/articulation,Stopping,0,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Back,,,0,Male,42,Negative,,Other,,,unset,On main carriageway - not in restricted la
4513,3,Car,No tow/articulation,Going ahead other,0,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Back,,,0,Male,30,Negative,,Other,,,unset,On main carriageway - not in restricted la
5213,1,Car,No tow/articulation,Going ahead other,0,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,,,0,Female,73,Negative,,Other,,,unset,On main carriageway - not in restricted la
5213,2,Car,No tow/articulation,Stopping,0,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Back,,,0,Female,33,Negative,,Other,,,unset,On main carriageway - not in restricted la
5213,3,Car,No tow/articulation,Waiting to go ahead but held up,0,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Back,,,0,Female,43,Negative,,Other,,,unset,On main carriageway - not in restricted la
6813,1,Car,No tow/articulation,Going ahead other,0,Not at junction (or within 20 metres),No skidding or jackknifing,None,Left carriageway nearside,Other permanent objects,,Front,,,0,Male,31,Negative,,Other,,,unset,On main carriageway - not in restricted la
6913,1,Car,No tow/articulation,Going ahead other,0,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Nearside,,,0,Female,43,Refused to provide,,Hit and Run,,,unset,On main carriageway - not in restricted la
6913,2,Car,No tow/articulation,Waiting to go ahead but held up,0,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,,,0,Male,44,Not requested,,Other,,,unset,On main carriageway - not in restricted la
7113,1,Car,No tow/articulation,Stopping,0,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,,,0,Male,19,Negative,,Other,,,unset,On main carriageway - not in restricted la
7113,2,Car,No tow/articulation,Stopping,0,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Back,,,0,Male,55,Negative,,Other,,,unset,On main carriageway - not in restricted la
8913,1,Car,No tow/articulation,Going ahead other,0,Entering roundabout,No skidding or jackknifing,Kerb,Did not _leave carriageway,None,,Front,,,0,Male,22,Not provided (Medical reasons),,Other,,,unset,On main carriageway - not in restricted la
8913,2,Goods vehicle 7.5 tonnes mgw and over,Articulated vehicle,Going ahead other,0,Mid junction - on roundabout or on main,No skidding or jackknifing,None,Did not _leave carriageway,None,,Nearside,,,0,Male,43,Negative,,Other,,,unset,On main carriageway - not in restricted la
9213,1,Bus or coach (17 or more passenger seats),No tow/articulation,Stopping,0,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Did not impact,,,0,Male,52,Negative,,"Non-stop vehicle, not hit",,,unset,Bus lane
9913,1,Car,No tow/articulation,Going ahead other,0,Not at junction (or within 20 metres),Skidding,None,Left carriageway offside onto central reservation _and rebounded,Nearside or offside crash barrie,,Front,,,0,Male,36,Negative,,Other,,,unset,On main carriageway - not in restricted la
10813,1,Car,No tow/articulation,Going ahead other,0,Vehicle in miidle of junction,No skidding or jackknifing,Parked vehicle - unlit,Did not _leave carriageway,None,,Front,,,0,Male,82,Driver not contacted at time of accident,,Other,,,unset,On main carriageway - not in restricted la
10813,2,Car,No tow/articulation,Parked,0,Vehicle in miidle of junction,No skidding or jackknifing,None,Did not _leave carriageway,None,,Offside,,,0,Not traced,-9,Not requested,,Other,,,unset,On main carriageway - not in restricted la
11713,1,Goods vehicle 3.5 tonnes maximum gross weight (mgw) and under,No tow/articulation,Going ahead other,0,Entering roundabout,No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,,,0,Male,38,Negative,,Other,,,unset,On main carriageway - not in restricted la
11713,2,Car,No tow/articulation,Waiting to go ahead but held up,0,Mid junction - on roundabout or on main,No skidding or jackknifing,None,Did not _leave carriageway,None,,Back,,,0,Male,33,Negative,,Other,,,unset,On main carriageway - not in restricted la
12313,1,Bus or coach (17 or more passenger seats),No tow/articulation,Starting,0,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Did not impact,,,0,Male,53,Driver not contacted at time of accident,,Other,,,unset,Bus lane
12513,1,Car,No tow/articulation,Going ahead other,0,Mid junction - on roundabout or on main,No skidding or jackknifing,None,Did not _leave carriageway,None,,Did not impact,,,0,Not traced,79,Driver not contacted at time of accident,,"Non-stop vehicle, not hit",,,unset,On main carriageway - not in restricted la
12513,2,Motor cycle 125cc and under,No tow/articulation,Going ahead other,0,Vehicle approaching junction/vehicle par,Overturned,None,Did not _leave carriageway,None,,Nearside,,,0,Male,28,Not requested,,Other,,,unset,On main carriageway - not in restricted la
13013,1,Car,No tow/articulation,Going ahead other,0,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,,,0,Male,55,Negative,,Other,,,unset,On main carriageway - not in restricted la
13913,1,Taxi,No tow/articulation,Going ahead other,0,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Offside,,,0,Male,55,Not requested,,Other,,,unset,On main carriageway - not in restricted la
13913,2,Pedal cycle,No tow/articulation,Going ahead other,0,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Nearside,,,0,Female,22,Not requested,,Other,,,unset,On main carriageway - not in restricted la
14013,1,Bus or coach (17 or more passenger seats),No tow/articulation,Starting,0,Entering main road,No skidding or jackknifing,None,Did not _leave carriageway,None,,Did not impact,,,0,Male,41,Negative,,Other,,,unset,On main carriageway - not in restricted la
14513,1,Car,No tow/articulation,Going ahead other,0,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Nearside,,,0,Female,30,Not requested,,Other,,,unset,On main carriageway - not in restricted la
15213,1,Car,No tow/articulation,Going ahead other,0,Vehicle approaching junction/vehicle par,No skidding or jackknifing,Bollard/refuge,Did not _leave carriageway,None,,Front,,,0,Male,54,Negative,,Other,,,unset,On main carriageway - not in restricted la
16513,1,Pedal cycle,No tow/articulation,Overtaking moving vehice on its offside,0,Not at junction (or within 20 metres),No skidding or jackknifing,Other object,Did not _leave carriageway,None,,Did not impact,,,0,Female,57,Driver not contacted at time of accident,,Other,,,unset,On main carriageway - not in restricted la
16613,1,Car,No tow/articulation,Starting,0,Mid junction - on roundabout or on main,No skidding or jackknifing,None,Did not _leave carriageway,None,,Offside,,,0,Female,39,Negative,,Other,,,unset,On main carriageway - not in restricted la
16613,2,Pedal cycle,No tow/articulation,Going ahead other,0,Mid junction - on roundabout or on main,No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,,,0,Male,58,Not requested,,Other,,,unset,On main carriageway - not in restricted la
16913,1,Car,No tow/articulation,Parked,0,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Offside,,,0,Not traced,-9,Not requested,,Other,,,unset,On main carriageway - not in restricted la
16913,2,Pedal cycle,No tow/articulation,Going ahead other,0,Not at junction (or within 20 metres),No skidding or jackknifing,Open door of vehicle,Did not _leave carriageway,None,,Front,,,0,Female,25,Not requested,,Other,,,unset,On main carriageway - not in restricted la
17813,1,Goods vehicle 3.5 tonnes maximum gross weight (mgw) and under,No tow/articulation,Going ahead other,0,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,,,0,Male,33,Negative,,Other,,,unset,On main carriageway - not in restricted la
17813,2,Car,No tow/articulation,Waiting to go ahead but held up,0,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Back,,,0,Male,33,Not requested,,Other,,,unset,On main carriageway - not in restricted la
17813,3,Car,No tow/articulation,Waiting to go ahead but held up,0,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Back,,,0,Female,41,Not provided (Medical reasons),,Other,,,unset,On main carriageway - not in restricted la
17813,4,Car,No tow/articulation,Waiting to go ahead but held up,0,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Back,,,0,Male,63,Driver not contacted at time of accident,,Other,,,unset,On main carriageway - not in restricted la
18513,1,Car,No tow/articulation,Stopping,0,Entering roundabout,No skidding or jackknifing,None,Did not _leave carriageway,None,,Nearside,,,0,Male,50,Negative,,Other,,,unset,On main carriageway - not in restricted la
18613,1,Car,No tow/articulation,Changing lane to left,0,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,,,0,Male,79,Negative,,Other,,,unset,On main carriageway - not in restricted la
18813,1,Goods vehicle 3.5 tonnes maximum gross weight (mgw) and under,No tow/articulation,Starting,0,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,,,0,Male,39,Not requested,,Other,,,unset,On main carriageway - not in restricted la
18813,2,Taxi,No tow/articulation,Waiting to go ahead but held up,0,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Back,,,0,Male,52,Not requested,,Other,,,unset,On main carriageway - not in restricted la
21313,1,Car,No tow/articulation,Going ahead other,0,Not at junction (or within 20 metres),No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,,,0,Female,24,Negative,,Other,,,unset,On main carriageway - not in restricted la
22413,1,Car,No tow/articulation,Turning right,0,Mid junction - on roundabout or on main,No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,,,0,Male,59,Negative,,Other,,,unset,On main carriageway - not in restricted la
22413,2,Motor cycle 125cc and under,No tow/articulation,Going ahead other,0,Mid junction - on roundabout or on main,No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,,,0,Male,25,Negative,,Other,,,unset,On main carriageway - not in restricted la
22813,1,Car,No tow/articulation,Turning right,0,Entering main road,No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,,,0,Male,56,Driver not contacted at time of accident,,Other,,,unset,On main carriageway - not in restricted la
22813,2,Pedal cycle,No tow/articulation,Going ahead other,0,Vehicle approaching junction/vehicle par,No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,,,0,Male,37,Not requested,,Other,,,unset,On main carriageway - not in restricted la
23313,1,Car,No tow/articulation,Going ahead other,0,Mid junction - on roundabout or on main,No skidding or jackknifing,None,Did not _leave carriageway,None,,Front,,,0,Female,30,Negative,,Other,,,unset,On main carriageway - not in restricted la
23313,2,Goods vehicle 7.5 tonnes mgw and over,No tow/articulation,Going ahead left hand bend,0,Mid junction - on roundabout or on main,No skidding or jackknifing,None,Did not _leave carriageway,None,,Back,,,0,Male,53,Negative,,Other,,,unset,On main carriageway - not in restricted la
