"Street name",Locality,"Treatment Priority Category","Treatment Priority 1 Route Reference(s)","Treatment Local Priority Route Reference(s)"
"A8000 - Kirkliston to South Queensferry",,Local,,West_P06
"Abbey Mount",Abbeyhill,1,CityCentre_P02,
Abbeyhill,Abbeyhill,1,CityCentre_P02,
"Abercorn Crescent",Willowbrae,Local,,East_P01
"Abercorn Road",Willowbrae,Local,,East_P01
"Abercorn Terrace","Portobello East",Local,,East_P02
"Academy Park",Albion,Local,,CityCentre_P03
"Academy Street","South Leith",Local,,CityCentre_P03
"Admiral Terrace",Bruntsfield,Local,,South_P02
"Afton Terrace",Trinity,Local,,North_P03
"Ainslie Place",Stockbridge,1,CityCentre_P01,
"Albany Street",Broughton,1,CityCentre_P01,
"Albert Place",Albion,Local,,CityCentre_P04
"Albert Street",Albion,Local,,CityCentre_P03
"Albion Place",Albion,Local,,CityCentre_P03
"Albion Road",Albion,Local,,CityCentre_P03
"Alcorn Square","Wester Hailes",Local,,SouthWest_P02
"Alemoor Crescent",Lochend,Local,,CityCentre_P03
"Alemoor Park",Lochend,Local,,CityCentre_P03
"Angle Park Terrace",Gorgie,Local,,SouthWest_P04
"Annandale Street",Broughton,Local,,CityCentre_P04
Annfield,Newhaven,Local,,North_P03
"Antigua Street",Albion,Local,,CityCentre_P04
"Arboretum Avenue",Stockbridge,Local,,North_P04
"Arboretum Place",Inverleith,Local,,North_P03
"Arboretum Road",Inverleith,Local,,North_P03
"Ardmillan Terrace",Gorgie,Local,,SouthWest_P04
"Argyle Place",Bruntsfield,Local,,South_P03
"Ashburnham Road","South Queensferry",Local,,West_P06
"Ashley Terrace",Polwarth,Local,,SouthWest_P04
"Atholl Crescent",Bruntsfield,1,CityCentre_P01,
"Atholl Place","New Town",1,CityCentre_P01,
"Baberton Avenue","Juniper Green",1,"P008 - Currie",
"Baberton Mains Drive","Baberton Mains",Local,,SouthWest_P02
"Baberton Mains Loan","Baberton Mains",Local,,SouthWest_P02
"Baberton Mains View","Baberton Mains",Local,,SouthWest_P02
"Baberton Mains Wynd","Baberton Mains",Local,,SouthWest_P02
"Baird Road",Ratho/newbridge,Local,,West_P07
"Baker's Place",Stockbridge,1,CityCentre_P01,
"Balfour Place",Bonnington,Local,,CityCentre_P04
"Balfour Street",Bonnington,Local,,CityCentre_P04
"Balgreen Road",Saughtonhall,Local,,SouthWest_P04
"Balmwell Avenue",Gracemount,1,"P003 - Liberton",
"Balmwell Grove",Gracemount,1,"P003 - Liberton",
"Balmwell Terrace",Gracemount,1,"P003 - Liberton",
"Bangholm Loan",Trinity,Local,,North_P03
"Bangholm Villas",Trinity,Local,,North_P03
"Bank Street","Old Town",1,CityCentre_P01,
"Bankhead Avenue","South Gyle",Local,,SouthWest_P01
"Bankhead Drive","South Gyle",Local,,SouthWest_P01
"Barnton Avenue","Davidsons Mains",Local,,West_P05
"Barnton Gardens","Davidsons Mains",Local,,West_P05
"Bath Street","Portobello West",Local,,East_P02
"Bavelaw Road",Balerno,1,"P007 - Balerno",
"Baxter's Place",Broughton,Local,,CityCentre_P04
